NAMES,HABITAT,NO .OF THREATS,POPULATION TREND,CATEGORY STATUS,CATEGORY,GENERATION LENGTH
Udzungwa Dwarf Galago,Forest,0,Decreasing,nt, MAMMALIA,
Southern Black-horned Capuchin,Forest,0,Decreasing,nt, MAMMALIA,16
Cross River Squirrel Galago,Forest,2,Decreasing,nt, MAMMALIA,4
Johnston's Mangabey,Forest,3,Decreasing,nt, MAMMALIA,13
Ugandan Crested Mangabey,Forest,0,Decreasing,vu, MAMMALIA,12.8
Northeastern Africa Cheetah,Savanna,0,Decreasing,en, MAMMALIA,4.9
Caribbean Manatee,Wetlands (inland),0,Decreasing,en, MAMMALIA,
Beisa Oryx,Savanna,3,Decreasing,en, MAMMALIA,6.1
White-nosed Moustached Monkey,Forest,6,Decreasing,en, MAMMALIA,12
Dusky Toque Macaque,Forest,3,Decreasing,en, MAMMALIA,12.5
Silvery Lutung,Forest,3,Decreasing,vu, MAMMALIA,12
Silvery Lutung,Forest,2,Decreasing,cr, MAMMALIA,12
Tarutao Island Dusky Langur,Forest,3,Decreasing,en, MAMMALIA,12
Capped Langur,Forest,2,Decreasing,en, MAMMALIA,12
Southern Ruffed Lemur,Forest,4,Decreasing,cr, MAMMALIA,6.5
Ranomafana Bamboo Lemur,Forest,2,Decreasing,vu, MAMMALIA,9
Māui Dolphin,Marine Neritic,0,Decreasing,cr, MAMMALIA,13.5
Bearded Emperor Tamarin,Forest,1,Stable,lc, MAMMALIA,
Ogilby's Duiker,Forest,1,Decreasing,vu, MAMMALIA,4.6
Common Impala,Savanna,2,Stable,lc, MAMMALIA,5.7
Bolivian Night Monkey,Forest,4,Decreasing,dd, MAMMALIA,8.3
White-belted Ruffed Lemur,Forest,4,Decreasing,cr, MAMMALIA,6.5
Northern black-horned capuchin,Forest,2,Decreasing,nt, MAMMALIA,16
Gray’s Red-bellied Tamarin,Forest,0,Stable,lc, MAMMALIA,
Western Hoolock Gibbon,Forest,0,Decreasing,vu, MAMMALIA,15
Eastern Giant Eland,Forest,5,Decreasing,vu, MAMMALIA,8
Cameroon Preuss’s Monkey,Forest,2,Decreasing,en, MAMMALIA,10
Ávila Pires’ Saddle-back Tamarin,Forest,1,Stable,lc, MAMMALIA,6
Thomas’ Red-bellied Tamarin,Forest,0,Stable,lc, MAMMALIA,
Colombian Woolly Monkey,Forest,3,Decreasing,cr, MAMMALIA,15
White-legged Duiker,Forest,1,Decreasing,nt, MAMMALIA,
Highland Slender Loris,Forest,3,Decreasing,cr, MAMMALIA,7.5
Southwestern Red Slender Loris,Forest,4,Decreasing,en, MAMMALIA,7.5
Osman-Hill’s Grey-cheeked Mangabey,Forest,2,Decreasing,dd, MAMMALIA,10
Rwenzori Red Duiker,Forest,1,Decreasing,en, MAMMALIA,4.6
Antarctic Blue Whale,Marine Oceanic,1,Increasing,cr, MAMMALIA,30.8
Brooke's Duiker,Forest,2,Decreasing,vu, MAMMALIA,4.6
Cape Mountain Zebra,Grassland,3,Increasing,lc, MAMMALIA,11
Gabon Black Colobus,Forest,3,Decreasing,vu, MAMMALIA,10
Gray’s Crowned Monkey,Forest,3,Decreasing,nt, MAMMALIA,11
Katanga Red-tailed Monkey,Forest,2,Decreasing,lc, MAMMALIA,
Tenebrous Capped Langur,Forest,4,Decreasing,en, MAMMALIA,12
Gray-cheeked Mangabey,Forest,0,Decreasing,vu, MAMMALIA,10
Grey Lesser Bamboo Lemur,Forest,2,Decreasing,vu, MAMMALIA,9
Spix’s Moustached Tamarin,Forest,0,Stable,lc, MAMMALIA,7.4
South-eastern Black Rhino,Savanna,0,Stable,cr, MAMMALIA,17.5
Schmidt's Red-tailed Monkey,Forest,5,Decreasing,lc, MAMMALIA,
Peninsular Pronghorn,Shrubland,2,Increasing,en, MAMMALIA,
Somalia White-collared Monkey,Forest,3,Decreasing,cr, MAMMALIA,13
Spix’s Saddle-back Tamarin,Forest,0,Stable,lc, MAMMALIA,
Hartmann's Mountain Zebra,Savanna,3,Increasing,vu, MAMMALIA,
Golden Mantled Howler Monkey,Forest,4,Decreasing,en, MAMMALIA,
Ornate Spider Monkey,Forest,3,Decreasing,vu, MAMMALIA,15
Black-nosed Red-tailed Monkey,Forest,0,Decreasing,dd, MAMMALIA,
Black-cheeked Red-tailed Monkey,Forest,2,Stable,lc, MAMMALIA,
Nigeria Needle-clawed Galago,Forest,2,Decreasing,nt, MAMMALIA,5
Highland Purple-faced Langur,Forest,4,Decreasing,en, MAMMALIA,12
Western Steller Sea Lion,Marine Neritic,5,Increasing,en, MAMMALIA,
Congo Basin Wolf’s Monkey,Forest,2,Decreasing,nt, MAMMALIA,
Colombian White-throated Capuchin,Forest,3,Decreasing,en, MAMMALIA,18
Geoffroy's Red-bellied Tamarin,Forest,0,Stable,lc, MAMMALIA,
Southern Black Crested Mangabey,Forest,6,Decreasing,vu, MAMMALIA,10
Geoffroy's Woolly Monkey,Forest,6,Decreasing,en, MAMMALIA,15
Western Giant Eland,Forest,3,Decreasing,cr, MAMMALIA,8
Azara’s Night Monkey,Forest,4,Decreasing,dd, MAMMALIA,8.3
Cordier’s Angolan Colobus,Forest,3,Decreasing,vu, MAMMALIA,10.5
Powell-Cotton's Angolan Colobus,Forest,3,Decreasing,vu, MAMMALIA,10.5
Sclater’s Angolan Colobus,Forest,2,Decreasing,vu, MAMMALIA,10.5
Bioko Needle-clawed Galago,Forest,2,Decreasing,en, MAMMALIA,5
Bioko Preuss’s Monkey,Forest,3,Decreasing,en, MAMMALIA,10
Sharpe's Angola Colobus,Forest,2,Decreasing,vu, MAMMALIA,10.5
Brown-headed Spider Monkey,Forest,1,Decreasing,cr, MAMMALIA,15
Colombian Black Spider Monkey,Forest,1,Decreasing,vu, MAMMALIA,15
Red Bald-headed Uakari,Forest,1,Decreasing,lc, MAMMALIA,
Azuero Spider Monkey,Forest,7,Decreasing,cr, MAMMALIA,15
Novaes' Bald-headed Uacari,Forest,2,Decreasing,vu, MAMMALIA,10
Feline Night Monkey,Forest,3,Decreasing,lc, MAMMALIA,8.3
Giant Sable,Forest,1,Decreasing,cr, MAMMALIA,7.1
Azuero Howler Monkey,Forest,2,Decreasing,en, MAMMALIA,9.79
Nicaraguan Spider Monkey,Forest,1,Decreasing,cr, MAMMALIA,15
Sri Lankan Grey Langur,Forest,3,Decreasing,vu, MAMMALIA,12
Eastern Lesser Spot-nosed Monkey,Forest,4,Decreasing,nt, MAMMALIA,10.6
Western Lesser Spot-nosed Monkey,Forest,3,Decreasing,nt, MAMMALIA,11
Orange-nosed Red-tailed Monkey,Forest,2,Decreasing,lc, MAMMALIA,
Tanganyika Large-eared Galago,Forest,0,Stable,lc, MAMMALIA,
Eastern Spinner Dolphin,Marine Neritic,3,Increasing,vu, MAMMALIA,
Red-bellied Monkey,Forest,5,Decreasing,cr, MAMMALIA,9
Nigerian Putty-nosed Monkey,Forest,5,Decreasing,en, MAMMALIA,11.7
Red Uacari,Forest,2,Decreasing,vu, MAMMALIA,10
Coiba Island Howler Monkey,Forest,3,Decreasing,en, MAMMALIA,9.79
White Bald-headed Uakari,Forest,1,Stable,lc, MAMMALIA,10
Southern White Rhino,Savanna,3,Decreasing,nt, MAMMALIA,
Prigogine's Angolan Colobus ,Forest,3,Decreasing,en, MAMMALIA,10.8
Bioko Red-eared Monkey,Forest,3,Decreasing,en, MAMMALIA,9
South African Large-eared Galago,Forest,0,Stable,lc, MAMMALIA,
Dodinga Hills Guereza,Forest,3,Decreasing,en, MAMMALIA,12.3
Australian Fur Seal,Marine Neritic,4,Increasing,lc, MAMMALIA,
Omo River Guereza,Forest,2,Decreasing,lc, MAMMALIA,
Red Woolly Monkey,Forest,3,Decreasing,en, MAMMALIA,15
Mau Forest Guereza,Forest,3,Decreasing,lc, MAMMALIA,
Black-footed Crowned Monkey,Forest,4,Decreasing,nt, MAMMALIA,9
Red-rumped Putty-nosed Monkey,Forest,5,Decreasing,vu, MAMMALIA,11.7
Persian Leopard,Forest,11,Decreasing,en, MAMMALIA,7.42
Mexican Spider Monkey,Forest,4,Decreasing,en, MAMMALIA,15
Cameroon Red-eared Monkey,Forest,1,Decreasing,vu, MAMMALIA,9
Loughlin’s Steller Sea Lion,Marine Neritic,2,Increasing,lc, MAMMALIA,10
Southern Brown Howler Monkey,Forest,3,Decreasing,vu, MAMMALIA,12
Northern Brown Howler Monkey,Forest,3,Decreasing,cr, MAMMALIA,12
Peruvian Woolly Monkey,Forest,2,Decreasing,dd, MAMMALIA,15
Northern White Rhino,Savanna,1,Decreasing,cr, MAMMALIA,14.69
Nigeria White-throated Monkey,Forest,5,Decreasing,en, MAMMALIA,9
Stampfli's Putty-nosed Monkey,Forest,3,Decreasing,en, MAMMALIA,11.7
Golden-bellied Crowned Monkey,Forest,3,Decreasing,vu, MAMMALIA,9
Mongolian Kulan,Savanna,7,Stable,nt, MAMMALIA,7.5
Indian Wild Ass,Savanna,7,Increasing,nt, MAMMALIA,7.5
Djaffa Mountains Guereza,Forest,2,Decreasing,dd, MAMMALIA,
Northwest Atlantic Grey Seal,Marine Neritic,2,Increasing,lc, MAMMALIA,16.5
Northeast Atlantic Grey Seal,Marine Neritic,3,Increasing,lc, MAMMALIA,16.5
Saiga,Grassland,5,Increasing,nt, MAMMALIA,3.6
Onager,Savanna,0,Stable,en, MAMMALIA,7.5
Mongolian Saiga,Grassland,4,Decreasing,en, MAMMALIA,3.6
Mt Uaraguess Guereza,Forest,2,Decreasing,en, MAMMALIA,
Bioko Putty-nosed Monkey,Forest,3,Decreasing,en, MAMMALIA,12
Common Woolly Monkey,Forest,3,Decreasing,vu, MAMMALIA,15
Black-crowned Central American Squirrel Monkey,Forest,4,Decreasing,en, MAMMALIA,9.18
Black-handed Spider Monkey,Forest,1,Decreasing,vu, MAMMALIA,15
Black Sea Harbour Porpoise,Marine Neritic,5,Decreasing,en, MAMMALIA,
Ecuadorian Mantled Howler Monkey,Forest,1,Decreasing,vu, MAMMALIA,9.79
Eastern Putty-nosed Monkey,Forest,4,Decreasing,vu, MAMMALIA,12
Taiwanese Humpback Dolphin,Marine Neritic,4,Decreasing,cr, MAMMALIA,
Maratua Long-tailed Macaque,Forest,2,Decreasing,cr, MAMMALIA,13.9
Nicobar Long tailed Macaque,Forest,2,Increasing,vu, MAMMALIA,13.9
Con Song Long-tailed Macaque,Forest,2,Decreasing,en, MAMMALIA,13.9
Hangul,Forest,3,Decreasing,cr, MAMMALIA,14
Burmese Long-talied Macaque,Forest,6,Decreasing,vu, MAMMALIA,13.9
Antarctic Krill,Marine Oceanic,1,Stable,lc, MALACOSTRACA,5
Emperor Penguin,Marine Neritic,2,Decreasing,nt, AVES,22.4
Staghorn Coral,Marine Neritic,7,Decreasing,cr, ANTHOZOA,10
Red-billed Tropicbird,Marine Neritic,2,Decreasing,lc, AVES,10.1
Sandwich Tern,Marine Neritic,2,Stable,lc, AVES,10.8
Southern Rockhopper Penguin,,6,Decreasing,vu, AVES,
Rosy Dory,Marine Deep Benthic,0,Stable,lc, ACTINOPTERYGII,
Clearnose Skate,Marine Neritic,1,Increasing,lc, CHONDRICHTHYES,7.4
Caribbean Spiny Lobster,Marine Neritic,1,Decreasing,dd, MALACOSTRACA,10
Bluntnose Stingray,Marine Neritic,1,Decreasing,nt, CHONDRICHTHYES,10.5
Harp Seal,Marine Neritic,4,Increasing,lc, MAMMALIA,15.7
Golden Tilefish,Marine Neritic,2,Decreasing,en, ACTINOPTERYGII,16
Caribbean Roughshark,Marine Deep Benthic,1,Stable,lc, CHONDRICHTHYES,
Portuguese Dogfish,Marine Deep Benthic,1,Decreasing,nt, CHONDRICHTHYES,37
Blacktip Shark,Marine Neritic,3,Decreasing,vu, CHONDRICHTHYES,12.5
West Indian Manatee,Wetlands (inland),8,Decreasing,vu, MAMMALIA,
West Atlantic Trumpetfish,Marine Neritic,2,Decreasing,lc, ACTINOPTERYGII,
Atlantic Chupare,Marine Neritic,4,Decreasing,en, CHONDRICHTHYES,25
Roughtail Stingray,Marine Neritic,0,Decreasing,vu, CHONDRICHTHYES,21.5
Tiger Grouper,Marine Neritic,1,Decreasing,dd, ACTINOPTERYGII,
American Crested Pipefish,Marine Neritic,0,Decreasing,lc, ACTINOPTERYGII,
Black Sea Bass,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,5
Western Atlantic Torpedo Ray,Marine Neritic,1,Decreasing,lc, CHONDRICHTHYES,
Bean's Bigscale,Marine Oceanic,0,Stable,dd, ACTINOPTERYGII,
Bonnethead Shark,,4,Decreasing,, CHONDRICHTHYES,12
Tiger Shark,Marine Neritic,1,Decreasing,nt, CHONDRICHTHYES,20
Yucatan Flagfish,Wetlands (inland),3,Stable,lc, ACTINOPTERYGII,
Spotted Lanternfish,Marine Oceanic,0,Stable,lc, ACTINOPTERYGII,
Yucatan Pupfish,Wetlands (inland),1,Stable,lc, ACTINOPTERYGII,
Basking Shark,Marine Neritic,2,Decreasing,en, CHONDRICHTHYES,34
Nassau Grouper,Marine Neritic,0,Decreasing,cr, ACTINOPTERYGII,17
Yellowhead Jawfish,Marine Neritic,2,Stable,lc, ACTINOPTERYGII,
Maya Hamlet,Marine Neritic,2,Decreasing,en, ACTINOPTERYGII,
Freckled Cardinalfish,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Black Dogfish,Marine Deep Benthic,1,Stable,lc, CHONDRICHTHYES,32.5
Belted Cardinalfish,Marine Neritic,1,Stable,lc, ACTINOPTERYGII,
Spotted Cardinalfish,Marine Neritic,1,Stable,lc, ACTINOPTERYGII,
Scup,Marine Neritic,1,Decreasing,nt, ACTINOPTERYGII,
Spined Pygmy Shark,Marine Oceanic,1,Stable,lc, CHONDRICHTHYES,
Whale Shark,,0,Decreasing,, CHONDRICHTHYES,
Whitespotted Eagle Ray,Marine Neritic,1,Decreasing,en, CHONDRICHTHYES,10
White Shark,,1,Decreasing,, CHONDRICHTHYES,53
Largetooth Sawfish,Wetlands (inland),7,Decreasing,cr, CHONDRICHTHYES,
Spiny Dogfish,Marine Neritic,1,Decreasing,vu, CHONDRICHTHYES,
Antarctic Fur Seal,Marine Neritic,3,Decreasing,lc, MAMMALIA,
Twospot Cardinalfish,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Scalloped Hammerhead,Marine Neritic,1,Decreasing,cr, CHONDRICHTHYES,24.1
Rice’s Whale,Marine Oceanic,5,Decreasing,cr, MAMMALIA,
European Eel,,0,Decreasing,cr, ACTINOPTERYGII,
Porbeagle,,1,Decreasing,vu, CHONDRICHTHYES,
Bull Shark,,0,Decreasing,vu, CHONDRICHTHYES,
Molly Miller,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Smalltooth Sawfish,Marine Neritic,4,Decreasing,cr, CHONDRICHTHYES,
Blue Shark,Marine Neritic,1,Decreasing,nt, CHONDRICHTHYES,
Bluntnose Sixgill Shark,Marine Deep Benthic,1,Decreasing,nt, CHONDRICHTHYES,
Caribbean Reef Shark,Marine Neritic,5,Decreasing,en, CHONDRICHTHYES,9.6
Great Hammerhead,Marine Neritic,1,Decreasing,cr, CHONDRICHTHYES,24.25
Smooth Hammerhead,Marine Neritic,1,Decreasing,vu, CHONDRICHTHYES,24.1
American Cownose Ray,Marine Neritic,1,Decreasing,vu, CHONDRICHTHYES,14.3
Gillbacker Sea Catfish,Wetlands (inland),1,Decreasing,vu, ACTINOPTERYGII,11
Antarctic Krill,Marine Oceanic,1,Stable,lc, MALACOSTRACA,10
Emperor Penguin,Marine Neritic,2,Decreasing,nt, AVES,10.1
Staghorn Coral,Marine Neritic,7,Decreasing,cr, ANTHOZOA,10.8
Red-billed Tropicbird,Marine Neritic,2,Decreasing,lc, AVES,
Sandwich Tern,Marine Neritic,2,Stable,lc, AVES,7.4
Southern Rockhopper Penguin,Marine Neritic,6,Decreasing,vu, AVES,10
Rosy Dory,Marine Deep Benthic,0,Stable,lc, ACTINOPTERYGII,10.5
Clearnose Skate,Marine Neritic,1,Increasing,lc, CHONDRICHTHYES,15.7
Caribbean Spiny Lobster,Marine Neritic,1,Decreasing,dd, MALACOSTRACA,16
Bluntnose Stingray,Marine Neritic,1,Decreasing,nt, CHONDRICHTHYES,
Harp Seal,Marine Neritic,4,Increasing,lc, MAMMALIA,37
Golden Tilefish,Marine Neritic,2,Decreasing,en, ACTINOPTERYGII,12.5
Erect-crested Penguin,Marine Neritic,2,Decreasing,en, AVES,
Caribbean Roughshark,Marine Deep Benthic,1,Stable,lc, CHONDRICHTHYES,
Portuguese Dogfish,Marine Deep Benthic,1,Decreasing,nt, CHONDRICHTHYES,25
Blacktip Shark,Marine Neritic,3,Decreasing,vu, CHONDRICHTHYES,21.5
West Indian Manatee,Wetlands (inland),8,Decreasing,vu, MAMMALIA,
West Atlantic Trumpetfish,Marine Neritic,2,Decreasing,lc, ACTINOPTERYGII,
Atlantic Chupare,Marine Neritic,4,Decreasing,en, CHONDRICHTHYES,5
Roughtail Stingray,Marine Neritic,1,Decreasing,vu, CHONDRICHTHYES,
Tiger Grouper,Marine Neritic,1,Decreasing,dd, ACTINOPTERYGII,
American Crested Pipefish,Marine Neritic,0,Decreasing,lc, ACTINOPTERYGII,12
Black Sea Bass,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,20
Western Atlantic Torpedo Ray,Marine Neritic,1,Decreasing,lc, CHONDRICHTHYES,
Bean's Bigscale,Marine Oceanic,0,Stable,dd, ACTINOPTERYGII,
Bonnethead Shark,,4,Decreasing,, CHONDRICHTHYES,
Tiger Shark,Marine Neritic,1,Decreasing,nt, CHONDRICHTHYES,34
Yucatan Flagfish,Wetlands (inland),3,Stable,lc, ACTINOPTERYGII,17
Spotted Lanternfish,Marine Oceanic,0,Stable,lc, ACTINOPTERYGII,
Yucatan Pupfish,,1,Stable,lc, ACTINOPTERYGII,
Basking Shark,Marine Neritic,2,Decreasing,en, CHONDRICHTHYES,
Nassau Grouper,Marine Neritic,3,Decreasing,cr, ACTINOPTERYGII,32.5
Yellowhead Jawfish,Marine Neritic,2,Stable,lc, ACTINOPTERYGII,
Maya Hamlet,Marine Neritic,2,Decreasing,en, ACTINOPTERYGII,
Freckled Cardinalfish,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,8
Black Dogfish,Marine Deep Benthic,1,Stable,lc, CHONDRICHTHYES,
Belted Cardinalfish,Marine Neritic,1,Stable,lc, ACTINOPTERYGII,25
Spotted Cardinalfish,Marine Neritic,1,Stable,lc, ACTINOPTERYGII,10
Scup,Marine Neritic,1,Decreasing,nt, ACTINOPTERYGII,53
Spined Pygmy Shark,Marine Oceanic,1,Stable,lc, CHONDRICHTHYES,22.5
Whale Shark,,4,Decreasing,, CHONDRICHTHYES,17
Whitespotted Eagle Ray,Marine Neritic,1,Decreasing,en, CHONDRICHTHYES,
White Shark,,1,Decreasing,, CHONDRICHTHYES,24.1
Largetooth Sawfish,Wetlands (inland),7,Decreasing,cr, CHONDRICHTHYES,
Spiny Dogfish,Marine Neritic,1,Decreasing,vu, CHONDRICHTHYES,13
Antarctic Fur Seal,Marine Neritic,3,Decreasing,lc, MAMMALIA,28.9
Twospot Cardinalfish,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,22.5
Scalloped Hammerhead,Marine Neritic,1,Decreasing,cr, CHONDRICHTHYES,
Rice’s Whale,Marine Oceanic,5,Decreasing,cr, MAMMALIA,19.5
European Eel,Wetlands (inland),9,Decreasing,cr, ACTINOPTERYGII,10.25
Porbeagle,Marine Neritic,1,Decreasing,vu, CHONDRICHTHYES,53
Bull Shark,Wetlands (inland),0,Decreasing,vu, CHONDRICHTHYES,9.6
Molly Miller,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,24.25
Smalltooth Sawfish,Marine Neritic,4,Decreasing,cr, CHONDRICHTHYES,24.1
Blue Shark,Marine Neritic,1,Decreasing,nt, CHONDRICHTHYES,14.3
Bluntnose Sixgill Shark,Marine Deep Benthic,0,Decreasing,nt, CHONDRICHTHYES,11
Caribbean Reef Shark,Marine Neritic,5,Decreasing,en, CHONDRICHTHYES,11.3
Great Hammerhead,Marine Neritic,1,Decreasing,cr, CHONDRICHTHYES,
Smooth Hammerhead,Marine Neritic,1,Decreasing,vu, CHONDRICHTHYES,0.33
American Cownose Ray,Marine Neritic,1,Decreasing,vu, CHONDRICHTHYES,4.3
Antarctic Krill,Marine Oceanic,1,Stable,lc, MALACOSTRACA,5
Barrow's Goldeneye,Forest,7,Stable,lc, AVES,22.4
Emperor Penguin,Marine Neritic,2,Decreasing,nt, AVES,10
Staghorn Coral,Marine Neritic,7,Decreasing,cr, ANTHOZOA,10.1
Red-billed Tropicbird,Marine Neritic,2,Decreasing,lc, AVES,10.8
Sandwich Tern,Marine Neritic,2,Stable,lc, AVES,11.9
Southern Rockhopper Penguin,Marine Neritic,6,Decreasing,vu, AVES,
Rosy Dory,Marine Deep Benthic,0,Stable,lc, ACTINOPTERYGII,7.4
Clearnose Skate,Marine Neritic,1,Increasing,lc, CHONDRICHTHYES,10
Caribbean Spiny Lobster,Marine Neritic,1,Decreasing,dd, MALACOSTRACA,10.5
Bluntnose Stingray,Marine Neritic,1,Decreasing,nt, CHONDRICHTHYES,15.7
Harp Seal,Marine Neritic,4,Increasing,lc, MAMMALIA,16
Pacific Hagfish,Marine Neritic,1,Decreasing,dd, MYXINI,11.9
Golden Tilefish,Marine Neritic,2,Decreasing,en, ACTINOPTERYGII,
Erect-crested Penguin,Marine Neritic,2,Decreasing,en, AVES,37
Caribbean Roughshark,Marine Deep Benthic,1,Stable,lc, CHONDRICHTHYES,12.5
Portuguese Dogfish,Marine Deep Benthic,1,Decreasing,nt, CHONDRICHTHYES,
Blacktip Shark,Marine Neritic,3,Decreasing,vu, CHONDRICHTHYES,
West Indian Manatee,Wetlands (inland),8,Decreasing,vu, MAMMALIA,25
West Atlantic Trumpetfish,Marine Neritic,2,Decreasing,lc, ACTINOPTERYGII,21.5
Atlantic Chupare,Marine Neritic,4,Decreasing,en, CHONDRICHTHYES,
Roughtail Stingray,Marine Neritic,1,Decreasing,vu, CHONDRICHTHYES,
Tiger Grouper,Marine Neritic,1,Decreasing,dd, ACTINOPTERYGII,5
American Crested Pipefish,Marine Neritic,0,Decreasing,lc, ACTINOPTERYGII,
Black Sea Bass,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Western Atlantic Torpedo Ray,Marine Neritic,1,Decreasing,lc, CHONDRICHTHYES,12
Bean's Bigscale,Marine Oceanic,0,Stable,dd, ACTINOPTERYGII,20
Bonnethead Shark,,4,Decreasing,, CHONDRICHTHYES,
Tiger Shark,Marine Neritic,1,Decreasing,nt, CHONDRICHTHYES,
Yucatan Flagfish,Wetlands (inland),3,Stable,lc, ACTINOPTERYGII,
Spotted Lanternfish,Marine Oceanic,0,Stable,lc, ACTINOPTERYGII,34
Yucatan Pupfish,Wetlands (inland),1,Stable,lc, ACTINOPTERYGII,17
Basking Shark,Marine Neritic,2,Decreasing,en, CHONDRICHTHYES,
Nassau Grouper,Marine Neritic,3,Decreasing,cr, ACTINOPTERYGII,
Yellowhead Jawfish,Marine Neritic,2,Stable,lc, ACTINOPTERYGII,
Northern Fur Seal,Marine Neritic,3,Decreasing,vu, MAMMALIA,32.5
Maya Hamlet,Marine Neritic,2,Decreasing,en, ACTINOPTERYGII,
Freckled Cardinalfish,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Smalleye Squaretail,Marine Oceanic,0,Stable,lc, ACTINOPTERYGII,8
Pinto Abalone,Marine Neritic,4,Decreasing,en, GASTROPODA,
Black Dogfish,Marine Deep Benthic,1,Stable,lc, CHONDRICHTHYES,25
Sunflower Sea Star,,3,Decreasing,cr, ASTEROIDEA,10
Belted Cardinalfish,,1,Stable,lc, ACTINOPTERYGII,53
Spotted Cardinalfish,Marine Neritic,1,Stable,lc, ACTINOPTERYGII,22.5
Scup,,1,Decreasing,nt, ACTINOPTERYGII,17
Spined Pygmy Shark,Marine Oceanic,1,Stable,lc, CHONDRICHTHYES,9.1
Whale Shark,,4,Decreasing,, CHONDRICHTHYES,
Whitespotted Eagle Ray,Marine Neritic,1,Decreasing,en, CHONDRICHTHYES,
White Shark,,1,Decreasing,, CHONDRICHTHYES,
Largetooth Sawfish,Wetlands (inland),7,Decreasing,cr, CHONDRICHTHYES,13
Spiny Dogfish,Marine Neritic,1,Decreasing,vu, CHONDRICHTHYES,28.9
Antarctic Fur Seal,Marine Neritic,3,Decreasing,lc, MAMMALIA,22.5
Twospot Cardinalfish,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
